WBAN	COUNTRY	STATE	LOCATION	VECTOR	NAME	LATITUDE	LONGITUDE	ELEVATION	STATUS	COMMISSIONING	CLOSING	OPERATION	PAIRING	NETWORK
63826	US	SC	Blackville	3 W	Clemson University (Edisto Research & Edu. Ctr.)	33.35	-81.32	317	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
63828	US	GA	Newton	8 W	Robert W. Woodruff Foundation (Ichauway-George Site)	31.31	-84.47	176	Commissioned	2004-01-11 19:00:00.0		Operational	63829	USCRN
63829	US	GA	Newton	11 SW	Robert W. Woodruff Foundation (Ichauway-Dubignon Site)	31.19	-84.44	156	Commissioned	2004-01-11 19:00:00.0		Operational	63828	USCRN
63831	US	MS	Newton	5 ENE	Mississippi State University (Coastal Plain Exp. Station)	32.33	-89.07	374	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
63838	US	KY	Versailles	3 NNW	University of Kentucky (Woodford County Site)	38.09	-84.74	891	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
63849	US	KY	Bowling Green	21 NNE	Mammoth Cave National Park (Job Corps Site)	37.25	-86.23	790	Commissioned	2004-06-28 20:00:00.0		Operational		USCRN
63850	US	GA	Watkinsville	5 SSE	University of GA, Phil Campbell Sr Natural Resource Conservation Center	33.78	-83.38	741	Commissioned	2004-06-07 20:00:00.0		Operational		USCRN
63855	US	TN	Crossville	7 NW	Univ. of Tennessee (Plateau Research and Education Center)	36.01	-85.13	1913	Commissioned	2005-04-06 20:00:00.0		Operational		USCRN
63856	US	GA	Brunswick	23 S	Cumberland Island National Seashore (Stafford Field)	30.8	-81.45	25	Commissioned	2005-04-26 20:00:00.0		Operational		USCRN
63857	US	AL	Gadsden	19 N	Sand Mountain Research / Extension  (Northwest Pasture)	34.28	-85.96	1152	Commissioned	2005-06-09 20:00:00.0		Operational		USCRN
63858	US	AL	Selma	13 WNW	Auburn University, Black Belt Research and Extension Center	32.45	-87.24	193	Commissioned	2005-07-24 20:00:00.0		Operational		USCRN
63862	US	AL	Valley Head	1 SSW	Valley Head	34.56	-85.61	1020	Experimental			Operational		Alabama-USRCRN
63866	US	AL	Guntersville	2 SW	Guntersville Radio Station	34.33	-86.31	620	Experimental		2013-12-15 19:00:00.0	Closed		Alabama-USRCRN
63867	US	AL	Cullman	3 ENE	North Alabama Horticultural Research Center	34.19	-86.79	800	Experimental			Operational		Alabama-USRCRN
63868	US	AL	Courtland	2 WSW	Lawrence County Airport	34.66	-87.34	575	Experimental			Operational		Alabama-USRCRN
63869	US	AL	Fairhope	3 NE	Auburn University, Gulf Coast Research and Extension Center	30.54	-87.87	95	Commissioned	2006-09-28 20:00:00.0		Operational		USCRN
63891	US	AL	Clanton	2 NE	Chilton County Airport	32.85	-86.61	584	Experimental			Operational		Alabama-USRCRN
63892	US	AL	Gainesville	2 NE	Heflin Lock	32.83	-88.13	107	Experimental			Operational		Alabama-USRCRN
63893	US	AL	Greensboro	2 WNW	Hale County Jail	32.71	-87.62	280	Experimental			Operational		Alabama-USRCRN
63894	US	AL	Muscle Shoals	2 N	Muscle Shoals TVA	34.77	-87.63	530	Experimental			Operational		Alabama-USRCRN
63895	US	AL	Russellville	4 SSE	Russellville	34.45	-87.71	720	Experimental			Operational		Alabama-USRCRN
63896	US	AL	Scottsboro	2 NE	Scottsboro	34.69	-85.99	636	Experimental			Operational		Alabama-USRCRN
63897	US	AL	Selma	6 SSE	Craig Field Airport	32.33	-86.97	157	Experimental			Operational		Alabama-USRCRN
63898	US	IN	Bedford	5 WNW	Feldun-Purdue Agricultural Center, (Pasture 17 Site)	38.88	-86.57	760	Commissioned	2007-12-18 19:00:00.0		Operational		USCRN
63899	US	AL	Brewton	3 NNE	Brewton	31.14	-87.05	170	Experimental			Operational		Alabama-USRCRN
64756	US	NY	Millbrook	3 W	Institute of Ecosystem Studies (Environmental Monitoring Station)	41.78	-73.74	413	Commissioned	2005-03-09 19:00:00.0		Operational		USCRN
64757	CA	ON	Egbert	1 W	Environment Canada CARE site	44.23	-79.78	807	Experimental			Operational		USCRN
64758	US	NY	Ithaca	13 E	Cornell University (Harford Teaching & Research Center)	42.44	-76.24	1228	Commissioned	2005-03-09 19:00:00.0		Operational		USCRN
73801	US	AL	Northport	2 S	Oliver Lock & Dam	33.21	-87.59	150	Experimental			Operational		Alabama-USRCRN
73802	US	AL	Highland Home	2 S	Highland Home	31.91	-86.31	614	Experimental			Operational		Alabama-USRCRN
73803	US	AL	Talladega	10 NNE	Talladega Municipal Airport	33.57	-86.05	525	Experimental			Operational		Alabama-USRCRN
92821	US	FL	Titusville	7 E	NASA Kennedy Space Center, SLF Mid-Field Site	28.61	-80.69	3	Commissioned	2005-06-09 20:00:00.0		Operational		USCRN
92826	US	FL	Everglades City	5 NE	Big Cypress National Preserve (Ochopee Headquarters Vista Site)	25.89	-81.31	4	Commissioned	2007-06-10 20:00:00.0		Operational		USCRN
92827	US	FL	Sebring	23 SSE	Archbold Biological Station	27.15	-81.36	150	Commissioned	2008-04-01 20:00:00.0		Operational		USCRN
93243	US	CA	Merced	23 WSW	Kesterson Reservoir (US Bureau of Reclamation)	37.23	-120.88	78	Commissioned	2004-06-07 20:00:00.0		Operational		USCRN
93245	US	CA	Bodega	6 WSW	University of California - Davis (Bodega Marine Laboratory)	38.32	-123.07	63	Commissioned	2008-07-29 20:00:00.0		Operational		USCRN
94059	US	MT	Wolf Point	34 NE	Fort Peck Indian Res. (Give Out Morgan Site)	48.48	-105.2	2643	Commissioned	2004-04-22 20:00:00.0		Operational	94060	USCRN
94060	US	MT	Wolf Point	29 ENE	Fort Peck Indian Res. (Poplar River Site)	48.3	-105.1	2085	Commissioned	2004-01-25 19:00:00.0		Operational	94059	USCRN
94074	US	CO	Nunn	7 NNE	Ag. Res. Svc. Central Plains Exp. Range (SGS LTER at CSU)	40.8	-104.75	5390	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
94075	US	CO	Boulder	14 W	Mountain Research Station INSTAAR Univ. of CO (Hills Mill)	40.03	-105.54	9828	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
94077	US	NE	Harrison	20 SSE	Agate Fossil Beds National Monument (Visitor Center Site)	42.42	-103.73	4406	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
94078	US	WY	Lander	11 SSE	Nature Conservancy (Red Canyon Ranch)	42.67	-108.66	5773	Commissioned	2004-08-12 20:00:00.0		Operational		USCRN
94079	US	NE	Whitman	5 ENE	Gudmundsen Sandhills Laboratory (Site 1)	42.06	-101.44	3740	Commissioned	2005-03-09 19:00:00.0		Operational		USCRN
94080	US	ND	Medora	7 E	Theodore Roosevelt National Park (Painted Canyon Site)	46.89	-103.37	2771	Commissioned	2005-03-09 19:00:00.0		Operational		USCRN
94081	US	SD	Buffalo	13 ESE	SDSU Antelope Research Station (Calving Pasture Site)	45.51	-103.3	2883	Commissioned	2005-03-09 19:00:00.0		Operational		USCRN
94082	US	CO	Dinosaur	2 E	Dinosaur National Monument (Hdq. Maintenance Site)	40.24	-108.96	6062	Commissioned	2004-09-07 20:00:00.0		Operational		USCRN
94084	US	ND	Northgate	5 ESE	Des Lacs National Wildlife Refuge (HB-4 Site)	48.96	-102.17	1842	Commissioned	2007-01-25 19:00:00.0		Operational		USCRN
94085	US	SD	Pierre	24 S	Fort Pierre National Grassland (Chester West)	44.01	-100.35	2124	Commissioned	2007-01-25 19:00:00.0		Operational		USCRN
94088	US	WY	Sundance	8 NNW	Bear Lodge Ranger Dist, Black Hills NF (Massengale Flats Site)	44.51	-104.43	5792	Commissioned	2007-09-27 20:00:00.0		Operational		USCRN
94092	US	CO	Akron A	4 E	USDA Central Great Plains Research Station	40.15	-103.14	4542	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
94094	US	CO	Meeker	15 W	Rio Blanco Lake State Wildlife Area	40.08	-108.19	5761	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
94096	US	UT	Vernal	23 SSE	FWS, Ouray National Wildlife Refuge	40.13	-109.64	4674	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
94097	US	UT	Grantsville	12 WNW	BLM, Skull Valley (Muskrat Fire Station)	40.63	-112.67	4578	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
94098	US	UT	Manila	18 ESE	FS, Ashley National Forest (Dutch John)	40.92	-109.38	6536	Non-comissioned		2014-05-31 20:00:00.0	Closed		USRCRN
94644	US	ME	Old Town	2 W	University of Maine  (Rogers Farm Site)	44.92	-68.7	127	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
94645	US	ME	Limestone	4 NNW	Aroostook National  Wildlife Ref. (Fire Training Area)	46.96	-67.88	737	Commissioned	2004-01-11 19:00:00.0		Operational		USCRN
94995	US	NE	Lincoln	8 ENE	University of Nebraska (Prairie Pines Site)	40.84	-96.56	1189	Commissioned	2004-01-11 19:00:00.0		Operational	94996	USCRN
94996	US	NE	Lincoln	11 SW	Audubon Society (Spring Creek Prairie Site)	40.69	-96.85	1372	Commissioned	2004-01-11 19:00:00.0		Operational	94995	USCRN
96404	US	AK	Tok	70 SE	FWS, Tetlin National Wildlife Refuge (Seaton Roadhouse site)	62.73	-141.2	2000	Commissioned	2012-09-23 20:00:00.0		Operational		USCRN
96406	US	AK	Ruby	44 ESE	FWS, Nowitna National Wildlife Refuge (Lake Site)	64.5	-154.12	259	Commissioned	2015-09-28 20:00:00.0		Operational		USCRN
96407	US	AK	Selawik	28 E	FWS, Selawik National Wildlife Refuge (Cabin Site)	66.56	-159	22	Commissioned	2016-09-06 20:00:00.0		Operational		USCRN
96408	US	AK	Denali	27 N	NPS, Denali National Park (Wonder Lake Campground Site)	63.45	-150.87	2225	Commissioned	2016-09-06 20:00:00.0		Operational		USCRN
NA	US	VA	Sterling	0 N	Sterling HCN	38.97	-77.48	287	Test-site		2008-02-19 19:00:00.0	Closed		USCRN
UN	US	AK	Selawik	28 E	FWS, Selawik National Wildlife Refuge (Cabin Site)	66.56	-159	22	Test-site	2016-09-06 20:00:00.0		Operational		USCRN
UN	US	AK	Denali	27 N	NPS, Denali National Park (Wonder Lake Campground Site)	63.45	-150.87	2225	Test-site	2016-09-06 20:00:00.0		Operational		USCRN
UN	US	AK	Glennallen	64 N	BLM, Paxson Airport	63.02	-145.5	2669	Test-site	2014-07-20 20:00:00.0		Operational		USCRN
UN	US	AK	Ruby	44 ESE	FWS, Nowitna National Wildlife Refuge (Lake Site)	64.5	-154.12	259	Test-site	2015-09-28 20:00:00.0		Operational		USCRN
UN	US	AK	Ivotuk	1 NNE	Arctic Slope Regional Corporation, Ivotuk Airstrip	68.48	-155.75	1909	Test-site	2015-09-28 20:00:00.0		Operational		USCRN
UN	US	AK	Deadhorse	3 S	AK Department of Natural Resources, Haul Road)	70.16	-148.46	30	Test-site	2015-09-28 20:00:00.0		Operational		USCRN
UN	US	TN	Oakridge	0 N	ATDD test site	36	-84.24	UN	Test-site			Non-operational		USCRN
UN	US	AK	Gustavus	2 NE	The Nature Conservancy, Gustavus Forelands Preserve	58.42	-135.69	20	Test-site	2013-07-24 20:00:00.0		Operational		USCRN
UN	US	AK	King Salmon	42 SE	NPS, Katmai National Park (Contact Creek)	58.2	-155.92	661	Test-site	2013-07-24 20:00:00.0		Operational		USCRN
UN	US	AK	Tok	70 SE	FWS, Tetlin National Wildlife Refuge (Seaton Roadhouse site)	62.73	-141.2	2000	Test-site	2012-09-23 20:00:00.0		Operational		USCRN
